time_stamp;ground_steering_0;ground_steering_1;
621762221;0.0749791;0;
621859875;0.0749791;0.152;
621959506;0.0779797;0.152;
622059655;0.0779797;0.152;
622160492;0.0779797;0;
622261633;0.0779797;0;
622359406;0.101967;0;
622459554;0.11396;0.152;
622559496;0.110968;0.152;
622659275;0.11396;0.152;
622761655;0.110968;0;
622859457;0.110968;0;
622959319;0.110968;0;
623060015;0.110968;0;
623163170;0.110968;0;
623261789;-0;0;
623359613;-0;0;
623459580;-0;0;
623559132;-0;0;
623659318;-0.113951;0;
623761795;-0;0;
623859345;-0.0179858;-0.152;
623959374;-0.0509744;-0.152;
624059239;-0;-0.152;
624159815;-0;-0.152;
624261260;-0;-0.152;
624359755;-0.0899643;-0.152;
624459703;-0.143948;-0.152;
624559541;-0.18593;-0.152;
624659207;-0.179929;-0.152;
624761911;-0.0899643;-0.152;
624859398;-0;-0.152;
624958816;-0;0;
625059166;-0;0;
625159615;-0;0;
625260937;-0;0;
625358709;-0.0239869;0;
625458847;-0.14694;0;
625558685;-0;0;
625658657;-0;0;
625760973;-0;0;
625858620;-0;0;
